"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"384.3B23AB6DEF",2,"W","ROR","17060102","IMNTRP","522.308.007","ParrAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2013","2014","2017",5,"3-Ocean or greater",88,"91",71.6994285714286,6.97071428571429,-0.221,-0.371
"3D9.1C2D116D5E",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2008","2009","2011",4,"2-Ocean",106,"135",88.0864285714286,10.4017142857143,0.753,0.946
"3DA.1A19B4E24F",1,"W","ROR","17060105","LOSTIR","522.271.131.042.003","ParrAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2017","2018","2020",4,"2-Ocean",91,"104",110.09,9.08828571428571,-2.421,-1.881
"3D9.1BF272A1EF",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2012","2013","2015",4,"2-Ocean",122,"116",49.024,8.41671428571428,-0.445,-0.493666666666667
"3D9.1BF26F391A",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2007","2008","2011",5,"3-Ocean or greater",105,"122",62.3035714285714,8.85828571428571,0.753,1.04333333333333
"3D9.1C2D881BEB",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2009","2010","2012",4,"2-Ocean",120,"142",85.0827142857143,12.5305714285714,0.633,0.848333333333333
"3DD.00778C5BE8",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2015","2016","2017",3,"1-Ocean",99,"112",96.515,9.938,-0.221,-1.339
"3D9.1BF234F81F",2,"W","ROR","17060208","SECTRP","522.303.215.059.007","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2006","2007","2009",4,"2-Ocean",62,"104",47.4192857142857,9.53771428571429,0.925,1.125
"3D9.1C2DE17D46",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2011","2012","2014",4,"2-Ocean",111,"109",104.594714285714,9.01542857142857,-0.589,0.0416666666666666
"3D9.1BF108653C",5,"W","T","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",102,"129",93.4805714285714,10.9924285714286,1.595,1.91866666666667
